"","Tree","Uses","X","Y","Year","loguses"
"1","18R1",2,682820.114443,4515778.490058,2018,0.693147180559945
"2","18R10",1,683291.320874,4514923.571633,2018,0
"3","18R11",1,683434.791256,4515636.959029,2018,0
"4","18R12",1,683193.772166,4515848.160325,2018,0
"5","18R13",1,682815.495225,4515558.650582,2018,0
"6","18R14",1,683113.911275,4515539.811757,2018,0
"7","18R15",1,683378.135595,4515575.124731,2018,0
"8","18R16",1,683246.605818,4515501.55019,2018,0
"9","18R17",1,683341.855924,4515577.114126,2018,0
"10","18R18",1,683453.828297,4515437.921975,2018,0
"11","18R19",2,683459.243162,4514957.05779,2018,0.693147180559945
"12","18R2",1,683615.614633,4515663.77114,2018,0
"13","18R20",2,683200.968204,4515455.097755,2018,0.693147180559945
"14","18R21",2,682998.002289,4516128.804782,2018,0.693147180559945
"15","18R3",1,683550.719702,4515590.289236,2018,0
"16","18R4",17,682881.73062,4515267.134642,2018,2.83321334405622
"17","18R5",2,683066.613141,4515785.805446,2018,0.693147180559945
"18","18R6",13,683091.767626,4516069.58315,2018,2.56494935746154
"19","18R6",13,683091.767626,4516069.58315,2019,2.56494935746154
"20","18R7",1,682918.38218,4515694.38326,2018,0
"21","18R8",7,682979.25436,4515637.013105,2018,1.94591014905531
"22","18R9",1,683325.021009,4514858.754956,2018,0
"23","19R1",3,683362.451943,4514974.099493,2019,1.09861228866811
"24","19R2",1,683982.484585,4514739.208298,2019,0
"25","19R3",2,683109.94213,4516010.824578,2019,0.693147180559945
"26","19R4",1,683470.057901,4515726.923524,2019,0
"27","19R5",7,683346.802355,4515841.063734,2019,1.94591014905531
"28","19R6",1,683281.040675,4515734.348333,2019,0
